iter	Passed	Remaining
344	593	1126
345	594	1123
346	595	1120
347	596	1117
348	597	1114
349	598	1111
350	599	1108
351	600	1105
352	601	1102
353	602	1099
354	604	1097
355	605	1095
356	606	1092
357	607	1089
358	609	1087
359	610	1085
360	611	1082
361	612	1080
362	614	1078
363	615	1075
364	616	1072
365	618	1070
366	619	1067
367	620	1065
368	621	1062
369	622	1060
370	623	1057
371	625	1055
372	626	1052
373	627	1049
374	628	1047
375	629	1044
376	630	1041
377	631	1039
378	632	1036
379	633	1034
380	634	1031
381	635	1028
382	636	1025
383	638	1023
384	639	1021
385	640	1018
386	641	1016
387	642	1013
388	643	1011
389	644	1008
390	645	1005
391	646	1003
392	647	1000
393	649	998
394	649	995
395	650	992
396	652	990
397	652	987
398	654	985
399	655	983
400	656	980
401	657	978
402	658	975
403	659	973
404	660	970
405	661	967
406	662	964
407	663	962
408	664	959
409	665	957
410	666	954
411	667	952
412	668	949
413	669	947
414	670	945
415	672	943
416	673	941
417	674	938
418	675	936
419	676	933
420	677	931
421	677	928
422	678	926
423	679	923
424	680	921
425	682	919
426	682	916
427	684	914
428	686	913
429	687	910
430	688	908
431	689	906
432	690	904
433	691	901
434	692	899
435	693	896
436	694	894
437	695	892
438	696	889
439	697	887
440	698	885
441	699	883
442	700	881
443	702	879
444	703	877
445	704	875
446	705	873
447	706	870
448	708	868
449	709	866
450	710	864
451	711	862
452	712	860
453	713	857
454	714	855
455	715	853
456	717	852
457	718	850
458	720	848
459	721	846
460	722	844
461	723	842
462	724	840
463	725	838
464	726	836
465	728	834
466	729	832
467	730	830
468	731	828
469	733	826
470	734	824
471	735	822
472	736	821
473	738	818
474	739	816
475	740	815
476	741	812
477	742	810
478	743	808
479	744	806
480	745	804
481	747	802
482	748	801
483	750	800
484	751	798
485	752	796
486	753	793
487	754	791
488	755	789
489	756	787
490	757	785
491	758	783
492	759	781
493	760	779
494	762	778
495	764	776
496	766	775
497	767	773
498	768	772
499	770	770
500	771	768
501	772	765
502	773	763
503	774	761
504	774	759
505	775	757
506	776	755
507	778	753
508	780	752
509	781	750
510	782	748
511	783	746
512	784	744
513	785	742
514	786	740
515	787	738
516	788	736
517	789	734
518	790	732
519	792	731
520	793	729
521	795	727
522	795	725
523	796	723
524	797	721
525	799	720
526	800	718
527	801	716
528	802	714
529	803	712
530	804	710
531	805	708
532	806	706
533	807	704
534	808	702
535	810	701
536	811	699
537	812	697
538	813	696
539	815	694
540	816	692
541	817	690
542	818	688
543	819	686
544	820	684
545	821	682
546	822	681
547	823	679
548	825	677
549	826	676
550	827	674
551	828	672
552	829	670
553	830	668
554	832	667
555	833	665
556	834	663
557	835	661
558	835	659
559	837	657
560	838	655
561	839	654
562	840	652
563	841	650
564	842	649
565	844	647
566	845	645
567	846	643
568	847	641
569	848	639
570	849	638
571	850	636
572	851	634
573	852	632
574	853	630
575	854	628
576	855	627
577	856	625
578	857	623
579	859	622
580	860	620
581	862	619
582	863	617
583	864	616
584	865	614
585	866	612
586	867	610
587	868	608
588	870	607
589	871	605
590	873	604
591	874	602
592	875	601
593	876	599
594	877	597
595	878	595
596	879	593
597	880	592
598	881	590
599	882	588
600	883	586
601	885	585
602	886	583
603	887	582
604	888	580
605	889	578
606	890	576
607	892	575
608	893	573
609	893	571
610	894	569
611	895	567
612	896	566
613	898	565
614	900	563
615	901	561
616	902	560
617	903	558
618	905	557
619	906	555
620	907	554
621	909	552
622	910	550
623	911	549
624	913	547
625	914	546
626	915	544
627	916	543
628	917	541
629	919	539
630	920	538
631	921	536
632	922	535
633	923	533
634	924	531
635	925	529
636	927	528
637	928	526
638	929	525
639	930	523
640	932	522
641	934	520
642	936	519
643	937	518
644	938	516
645	939	514
646	941	513
647	942	512
648	943	510
649	944	508
650	945	507
651	946	505
652	948	503
653	949	502
654	950	500
655	951	498
656	952	497
657	953	495
658	954	493
659	955	492
660	956	490
661	957	489
662	958	487
663	959	485
664	960	484
665	961	482
666	963	480
667	964	479
668	965	477
669	966	476
670	967	474
671	968	472
672	969	471
673	971	469
674	972	468
675	973	466
676	974	464
677	975	463
678	976	461
679	977	459
680	978	458
681	980	457
682	981	455
683	983	454
684	984	452
685	985	450
686	986	449
687	987	447
688	988	446
689	990	444
690	991	443
691	993	442
692	996	441
693	997	439
694	999	438
695	1000	436
696	1002	435
697	1003	434
698	1004	432
699	1006	431
700	1007	429
701	1008	428
702	1010	426
703	1011	425
704	1012	423
705	1013	422
706	1015	420
707	1016	419
708	1018	417
709	1019	416
710	1020	414
711	1021	413
712	1023	411
713	1025	410
714	1026	409
715	1028	407
716	1029	406
717	1030	404
718	1031	403
719	1032	401
720	1034	400
721	1035	398
722	1036	397
723	1038	395
724	1039	394
725	1040	392
726	1042	391
727	1043	389
728	1044	388
729	1045	386
730	1047	385
731	1048	383
732	1049	382
733	1050	380
734	1051	379
735	1053	377
736	1054	376
737	1055	374
738	1057	373
739	1058	371
740	1059	370
741	1060	368
742	1062	367
743	1064	366
744	1065	364
745	1066	363
746	1067	361
747	1069	360
748	1070	358
749	1072	357
750	1073	356
751	1075	354
752	1076	353
753	1077	351
754	1078	350
755	1079	348
756	1081	347
757	1082	345
758	1083	344
759	1084	342
760	1086	341
761	1087	339
762	1089	338
763	1090	336
764	1093	335
765	1095	334
766	1096	333
767	1097	331
768	1099	330
769	1102	329
770	1105	328
771	1107	327
772	1109	325
773	1111	324
774	1113	323
775	1115	322
776	1117	320
777	1118	319
778	1119	317
779	1120	316
780	1122	314
781	1123	313
782	1124	311
783	1125	310
784	1126	308
785	1127	306
786	1128	305
787	1129	303
788	1131	302
789	1132	300
790	1133	299
791	1134	297
792	1135	296
793	1137	294
794	1138	293
795	1140	292
796	1141	290
797	1142	289
798	1144	287
799	1148	287
800	1149	285
801	1150	284
802	1155	283
803	1158	282
804	1162	281
805	1163	279
806	1164	278
807	1165	277
808	1168	275
809	1170	274
810	1174	273
811	1179	273
812	1181	271
813	1184	270
814	1186	269
815	1187	267
816	1188	266
817	1190	264
818	1192	263
819	1194	262
820	1199	261
821	1203	260
822	1204	259
823	1206	257
824	1207	256
825	1208	254
826	1210	253
827	1216	252
828	1217	251
829	1219	249
830	1220	248
831	1222	246
832	1225	245
833	1230	245
834	1232	243
835	1234	242
836	1235	240
837	1236	239
838	1242	238
839	1245	237
840	1246	235
841	1247	234
842	1248	232
843	1250	231
844	1251	229
845	1253	228
846	1260	227
847	1262	226
848	1263	224
849	1264	223
850	1265	221
851	1269	220
852	1277	220
853	1278	218
854	1279	217
855	1280	215
856	1282	213
857	1283	212
858	1284	210
859	1285	209
860	1286	207
861	1289	206
862	1294	205
863	1298	204
864	1299	202
865	1300	201
866	1301	199
867	1302	198
868	1303	196
869	1304	194
870	1305	193
871	1306	191
872	1307	190
873	1307	188
874	1308	186
875	1310	185
876	1311	183
877	1311	182
878	1313	180
879	1314	179
880	1314	177
881	1315	176
882	1316	174
883	1317	172
884	1318	171
885	1318	169
886	1319	168
887	1320	166
888	1321	165
889	1322	163
890	1323	161
891	1324	160
892	1324	158
893	1325	157
894	1327	155
895	1328	154
896	1329	152
897	1330	151
898	1331	149
899	1332	148
900	1333	146
901	1334	144
902	1334	143
903	1335	141
904	1336	140
905	1337	138
906	1338	137
907	1339	135
908	1340	134
909	1341	132
910	1343	131
911	1344	129
912	1345	128
913	1346	126
914	1347	125
915	1347	123
916	1348	122
917	1349	120
918	1350	119
919	1351	117
920	1352	116
921	1353	114
922	1354	113
923	1356	111
924	1357	110
925	1358	108
926	1359	107
927	1360	105
928	1361	104
929	1362	102
930	1364	101
931	1365	99
932	1365	98
933	1367	96
934	1367	95
935	1368	93
936	1369	92
937	1371	90
938	1372	89
939	1373	87
940	1375	86
941	1376	84
942	1377	83
943	1378	81
944	1379	80
945	1380	78
946	1381	77
947	1382	75
948	1383	74
949	1384	72
950	1384	71
951	1386	69
952	1387	68
953	1388	66
954	1389	65
955	1390	64
956	1391	62
957	1392	61
958	1393	59
959	1395	58
960	1396	56
961	1396	55
962	1398	53
963	1399	52
964	1400	50
965	1401	49
966	1402	47
967	1404	46
968	1405	44
969	1407	43
970	1408	42
971	1409	40
972	1410	39
973	1411	37
974	1412	36
975	1413	34
976	1414	33
977	1415	31
978	1416	30
979	1417	28
980	1418	27
981	1419	26
982	1421	24
983	1422	23
984	1422	21
985	1423	20
986	1425	18
987	1426	17
988	1427	15
989	1428	14
990	1429	12
991	1430	11
992	1431	10
993	1433	8
994	1434	7
995	1435	5
996	1436	4
997	1437	2
998	1438	1
999	1439	0
